Airline,Flight Number,Departure City,Arrival City,Departure Date,Return Date,Price,Stops,Duration,Departure Time,Arrival Time
American,AA 1299,Austin-Bergstrom International Airport,Dallas Fort Worth International Airport,2024-11-23 19:30,N/A,295,0,71,2024-11-23 19:30,2024-11-23 20:41
American,AA 1228,Austin-Bergstrom International Airport,Dallas Fort Worth International Airport,2024-11-23 20:35,N/A,295,0,73,2024-11-23 20:35,2024-11-23 21:48
United,UA 6321,Austin-Bergstrom International Airport,George Bush Intercontinental Airport,2024-11-23 19:34,N/A,304,1,66,2024-11-23 19:34,2024-11-23 20:40
United,UA 6116,George Bush Intercontinental Airport,Dallas Fort Worth International Airport,2024-11-23 21:37,N/A,304,1,83,2024-11-23 21:37,2024-11-23 23:00
American,AA 2434,Austin-Bergstrom International Airport,Dallas Fort Worth International Airport,2024-11-23 15:20,N/A,369,0,70,2024-11-23 15:20,2024-11-23 16:30
American,AA 2912,Austin-Bergstrom International Airport,Dallas Fort Worth International Airport,2024-11-23 18:03,N/A,369,0,73,2024-11-23 18:03,2024-11-23 19:16
American,AA 377,Austin-Bergstrom International Airport,Dallas Fort Worth International Airport,2024-11-23 08:16,N/A,399,0,72,2024-11-23 08:16,2024-11-23 09:28
American,AA 552,Austin-Bergstrom International Airport,Dallas Fort Worth International Airport,2024-11-23 10:00,N/A,399,0,72,2024-11-23 10:00,2024-11-23 11:12
American,AA 2198,Austin-Bergstrom International Airport,Dallas Fort Worth International Airport,2024-11-23 14:35,N/A,399,0,70,2024-11-23 14:35,2024-11-23 15:45
American,AA 3138,Austin-Bergstrom International Airport,Dallas Fort Worth International Airport,2024-11-23 16:45,N/A,399,0,73,2024-11-23 16:45,2024-11-23 17:58
American,AA 1060,Austin-Bergstrom International Airport,Dallas Fort Worth International Airport,2024-11-23 18:45,N/A,399,0,73,2024-11-23 18:45,2024-11-23 19:58
American,AA 2563,Austin-Bergstrom International Airport,Dallas Fort Worth International Airport,2024-11-23 05:01,N/A,464,0,73,2024-11-23 05:01,2024-11-23 06:14
United,UA 532,Denver International Airport,Chicago O'Hare International Airport,2025-02-20 06:00,N/A,292,1,154,2025-02-20 06:00,2025-02-20 09:34
United,UA 399,Chicago O'Hare International Airport,Boston Logan International Airport,2025-02-20 11:00,N/A,292,1,143,2025-02-20 11:00,2025-02-20 14:23
Delta,DL 1129,Denver International Airport,Minneapolis�Saint Paul International Airport,2025-02-20 06:05,N/A,392,1,128,2025-02-20 06:05,2025-02-20 09:13
Delta,DL 2655,Minneapolis�Saint Paul International Airport,Boston Logan International Airport,2025-02-20 10:15,N/A,392,1,170,2025-02-20 10:15,2025-02-20 14:05
United,UA 558,Denver International Airport,Boston Logan International Airport,2025-02-20 08:10,N/A,462,0,230,2025-02-20 08:10,2025-02-20 14:00
United,UA 597,Denver International Airport,Boston Logan International Airport,2025-02-20 13:55,N/A,462,0,230,2025-02-20 13:55,2025-02-20 19:45
