Airline,Flight Number,Departure City,Arrival City,Return Date,Price,Stops,Duration,Departure Time,Departure Time of Day,Arrival Time of Day
American,AA 1299,Austin-Bergstrom International Airport,Dallas Fort Worth International Airport,,295,0,71,2024-11-23 19:30,evening,night
American,AA 1228,Austin-Bergstrom International Airport,Dallas Fort Worth International Airport,,295,0,73,2024-11-23 20:35,night,night
United,UA 6321,Austin-Bergstrom International Airport,George Bush Intercontinental Airport,,304,1,66,2024-11-23 19:34,evening,night
United,UA 6116,George Bush Intercontinental Airport,Dallas Fort Worth International Airport,,304,1,83,2024-11-23 21:37,night,night
American,AA 2434,Austin-Bergstrom International Airport,Dallas Fort Worth International Airport,,369,0,70,2024-11-23 15:20,afternoon,afternoon
American,AA 2912,Austin-Bergstrom International Airport,Dallas Fort Worth International Airport,,369,0,73,2024-11-23 18:03,evening,evening
American,AA 377,Austin-Bergstrom International Airport,Dallas Fort Worth International Airport,,399,0,72,2024-11-23 08:16,morning,morning
American,AA 552,Austin-Bergstrom International Airport,Dallas Fort Worth International Airport,,399,0,72,2024-11-23 10:00,morning,morning
American,AA 2198,Austin-Bergstrom International Airport,Dallas Fort Worth International Airport,,399,0,70,2024-11-23 14:35,afternoon,afternoon
American,AA 3138,Austin-Bergstrom International Airport,Dallas Fort Worth International Airport,,399,0,73,2024-11-23 16:45,afternoon,evening
American,AA 1060,Austin-Bergstrom International Airport,Dallas Fort Worth International Airport,,399,0,73,2024-11-23 18:45,evening,evening
American,AA 2563,Austin-Bergstrom International Airport,Dallas Fort Worth International Airport,,464,0,73,2024-11-23 05:01,early morning,early morning
United,UA 532,Denver International Airport,Chicago O'Hare International Airport,,292,1,154,2025-02-20 06:00,early morning,morning
United,UA 399,Chicago O'Hare International Airport,Boston Logan International Airport,,292,1,143,2025-02-20 11:00,morning,afternoon
Delta,DL 1129,Denver International Airport,Minneapolis�Saint Paul International Airport,,392,1,128,2025-02-20 06:05,early morning,morning
Delta,DL 2655,Minneapolis�Saint Paul International Airport,Boston Logan International Airport,,392,1,170,2025-02-20 10:15,morning,afternoon
United,UA 558,Denver International Airport,Boston Logan International Airport,,462,0,230,2025-02-20 08:10,morning,afternoon
United,UA 597,Denver International Airport,Boston Logan International Airport,,462,0,230,2025-02-20 13:55,afternoon,evening
United,UA 1510,Denver International Airport,Boston Logan International Airport,,462,0,234,2025-02-20 17:45,evening,night
United,UA 2461,Denver International Airport,Boston Logan International Airport,,487,0,230,2025-02-20 09:45,morning,afternoon
Southwest,WN 2575,Denver International Airport,Boston Logan International Airport,,506,0,230,2025-02-20 09:10,morning,afternoon
Southwest,WN 4234,Denver International Airport,Boston Logan International Airport,,554,0,230,2025-02-20 18:05,evening,night
Southwest,WN 1554,Denver International Airport,Boston Logan International Airport,,584,0,235,2025-02-20 11:45,morning,evening
United,UA 2420,San Francisco International Airport,Denver International Airport,,397,0,155,2025-04-21 05:15,early morning,morning
United,UA 452,San Francisco International Airport,Denver International Airport,,397,0,161,2025-04-21 06:35,early morning,morning
United,UA 2862,San Francisco International Airport,Denver International Airport,,397,0,159,2025-04-21 19:06,evening,night
Delta,DL 920,San Francisco International Airport,Salt Lake City International Airport,,446,1,115,2025-04-21 10:10,morning,afternoon
Delta,DL 1623,Salt Lake City International Airport,Denver International Airport,,446,1,91,2025-04-21 13:40,afternoon,afternoon
United,UA 501,San Francisco International Airport,Denver International Airport,,484,0,159,2025-04-21 08:39,morning,afternoon
United,UA 277,San Francisco International Airport,Denver International Airport,,526,0,154,2025-04-21 11:00,morning,afternoon
United,UA 1791,San Francisco International Airport,Denver International Airport,,558,0,155,2025-04-21 12:56,afternoon,afternoon
American,AA 2423,San Francisco International Airport,Phoenix Sky Harbor International Airport,,562,1,120,2025-04-21 12:50,afternoon,afternoon
American,AA 1309,Phoenix Sky Harbor International Airport,Denver International Airport,,562,1,107,2025-04-21 15:15,afternoon,evening
United,UA 757,Seattle Tacoma International Airport,Denver International Airport,,223,1,165,2025-02-26 15:16,afternoon,evening
United,UA 377,Denver International Airport,Chicago O'Hare International Airport,,223,1,148,2025-02-26 20:30,night,night
Delta,DL 2108,Seattle Tacoma International Airport,Chicago O'Hare International Airport,,233,0,241,2025-02-26 17:55,evening,night
United,UA 2296,Seattle Tacoma International Airport,Chicago O'Hare International Airport,,262,0,246,2025-02-26 10:52,morning,afternoon
Alaska,AS 352,Seattle Tacoma International Airport,Chicago O'Hare International Airport,,377,0,254,2025-02-26 11:46,morning,evening
Alaska,AS 538,Seattle Tacoma International Airport,Chicago O'Hare International Airport,,377,0,236,2025-02-26 18:03,evening,night
Alaska,AS 408,Seattle Tacoma International Airport,Chicago O'Hare International Airport,,547,0,255,2025-02-26 08:55,morning,afternoon
United,UA 558,Denver International Airport,Boston Logan International Airport,,462,0,244,2025-04-06 07:45,morning,afternoon
United,UA 1510,Denver International Airport,Boston Logan International Airport,,462,0,239,2025-04-06 17:43,evening,night
American,AA 1647,Denver International Airport,Chicago O'Hare International Airport,,463,1,146,2025-04-06 10:54,morning,afternoon
American,AA 3160,Chicago O'Hare International Airport,Boston Logan International Airport,,463,1,136,2025-04-06 15:00,afternoon,evening
United,UA 1027,Denver International Airport,Boston Logan International Airport,,505,0,239,2025-04-06 16:00,afternoon,night
United,UA 597,Denver International Airport,Boston Logan International Airport,,550,0,244,2025-04-06 13:25,afternoon,evening
United,UA 2461,Denver International Airport,Boston Logan International Airport,,561,0,244,2025-04-06 09:50,morning,afternoon
United,UA 1387,Chicago O'Hare International Airport,San Francisco International Airport,,287,1,295,2025-02-25 08:45,morning,morning
United,UA 1387,San Francisco International Airport,Seattle Tacoma International Airport,,287,1,139,2025-02-25 13:33,afternoon,afternoon
United,UA 2211,Chicago O'Hare International Airport,Seattle Tacoma International Airport,,287,0,283,2025-02-25 19:59,evening,night
Alaska,AS 335,Chicago O'Hare International Airport,Seattle Tacoma International Airport,,317,0,282,2025-02-25 14:00,afternoon,afternoon
Alaska,AS 353,Chicago O'Hare International Airport,Seattle Tacoma International Airport,,317,0,281,2025-02-25 17:54,evening,night
Delta,DL 2041,Chicago O'Hare International Airport,Seattle Tacoma International Airport,,320,0,298,2025-02-25 07:00,morning,morning
