Airline,Flight Number,Departure City,Arrival City,Price,Stops,Duration,Departure Time of Day,Arrival Time of Day
American,AA 1299,Austin-Bergstrom International Airport,Dallas Fort Worth International Airport,295,0,71,evening,night
American,AA 1228,Austin-Bergstrom International Airport,Dallas Fort Worth International Airport,295,0,73,night,night
United,UA 6321,Austin-Bergstrom International Airport,George Bush Intercontinental Airport,304,1,66,evening,night
United,UA 6116,George Bush Intercontinental Airport,Dallas Fort Worth International Airport,304,1,83,night,night
American,AA 2434,Austin-Bergstrom International Airport,Dallas Fort Worth International Airport,369,0,70,afternoon,afternoon
American,AA 2912,Austin-Bergstrom International Airport,Dallas Fort Worth International Airport,369,0,73,evening,evening
American,AA 377,Austin-Bergstrom International Airport,Dallas Fort Worth International Airport,399,0,72,morning,morning
American,AA 552,Austin-Bergstrom International Airport,Dallas Fort Worth International Airport,399,0,72,morning,morning
American,AA 2198,Austin-Bergstrom International Airport,Dallas Fort Worth International Airport,399,0,70,afternoon,afternoon
American,AA 3138,Austin-Bergstrom International Airport,Dallas Fort Worth International Airport,399,0,73,afternoon,evening
American,AA 1060,Austin-Bergstrom International Airport,Dallas Fort Worth International Airport,399,0,73,evening,evening
American,AA 2563,Austin-Bergstrom International Airport,Dallas Fort Worth International Airport,464,0,73,early morning,early morning
United,UA 532,Denver International Airport,Chicago O'Hare International Airport,292,1,154,early morning,morning
United,UA 399,Chicago O'Hare International Airport,Boston Logan International Airport,292,1,143,morning,afternoon
Delta,DL 1129,Denver International Airport,Minneapolis�Saint Paul International Airport,392,1,128,early morning,morning
Delta,DL 2655,Minneapolis�Saint Paul International Airport,Boston Logan International Airport,392,1,170,morning,afternoon
United,UA 558,Denver International Airport,Boston Logan International Airport,462,0,230,morning,afternoon
United,UA 597,Denver International Airport,Boston Logan International Airport,462,0,230,afternoon,evening
United,UA 1510,Denver International Airport,Boston Logan International Airport,462,0,234,evening,night
United,UA 2461,Denver International Airport,Boston Logan International Airport,487,0,230,morning,afternoon
Southwest,WN 2575,Denver International Airport,Boston Logan International Airport,506,0,230,morning,afternoon
Southwest,WN 4234,Denver International Airport,Boston Logan International Airport,554,0,230,evening,night
Southwest,WN 1554,Denver International Airport,Boston Logan International Airport,584,0,235,morning,evening
United,UA 2420,San Francisco International Airport,Denver International Airport,397,0,155,early morning,morning
United,UA 452,San Francisco International Airport,Denver International Airport,397,0,161,early morning,morning
United,UA 2862,San Francisco International Airport,Denver International Airport,397,0,159,evening,night
Delta,DL 920,San Francisco International Airport,Salt Lake City International Airport,446,1,115,morning,afternoon
Delta,DL 1623,Salt Lake City International Airport,Denver International Airport,446,1,91,afternoon,afternoon
United,UA 501,San Francisco International Airport,Denver International Airport,484,0,159,morning,afternoon
United,UA 277,San Francisco International Airport,Denver International Airport,526,0,154,morning,afternoon
United,UA 1791,San Francisco International Airport,Denver International Airport,558,0,155,afternoon,afternoon
American,AA 2423,San Francisco International Airport,Phoenix Sky Harbor International Airport,562,1,120,afternoon,afternoon
American,AA 1309,Phoenix Sky Harbor International Airport,Denver International Airport,562,1,107,afternoon,evening
United,UA 757,Seattle Tacoma International Airport,Denver International Airport,223,1,165,afternoon,evening
United,UA 377,Denver International Airport,Chicago O'Hare International Airport,223,1,148,night,night
Delta,DL 2108,Seattle Tacoma International Airport,Chicago O'Hare International Airport,233,0,241,evening,night
United,UA 2296,Seattle Tacoma International Airport,Chicago O'Hare International Airport,262,0,246,morning,afternoon
Alaska,AS 352,Seattle Tacoma International Airport,Chicago O'Hare International Airport,377,0,254,morning,evening
Alaska,AS 538,Seattle Tacoma International Airport,Chicago O'Hare International Airport,377,0,236,evening,night
Alaska,AS 408,Seattle Tacoma International Airport,Chicago O'Hare International Airport,547,0,255,morning,afternoon
United,UA 558,Denver International Airport,Boston Logan International Airport,462,0,244,morning,afternoon
United,UA 1510,Denver International Airport,Boston Logan International Airport,462,0,239,evening,night
American,AA 1647,Denver International Airport,Chicago O'Hare International Airport,463,1,146,morning,afternoon
American,AA 3160,Chicago O'Hare International Airport,Boston Logan International Airport,463,1,136,afternoon,evening
United,UA 1027,Denver International Airport,Boston Logan International Airport,505,0,239,afternoon,night
United,UA 597,Denver International Airport,Boston Logan International Airport,550,0,244,afternoon,evening
United,UA 2461,Denver International Airport,Boston Logan International Airport,561,0,244,morning,afternoon
United,UA 1387,Chicago O'Hare International Airport,San Francisco International Airport,287,1,295,morning,morning
United,UA 1387,San Francisco International Airport,Seattle Tacoma International Airport,287,1,139,afternoon,afternoon
United,UA 2211,Chicago O'Hare International Airport,Seattle Tacoma International Airport,287,0,283,evening,night
Alaska,AS 335,Chicago O'Hare International Airport,Seattle Tacoma International Airport,317,0,282,afternoon,afternoon
Alaska,AS 353,Chicago O'Hare International Airport,Seattle Tacoma International Airport,317,0,281,evening,night
Delta,DL 2041,Chicago O'Hare International Airport,Seattle Tacoma International Airport,320,0,298,morning,morning
United,UA 1705,Chicago O'Hare International Airport,Seattle Tacoma International Airport,377,0,284,morning,morning
JetBlue,B6 2615,John F. Kennedy International Airport,San Francisco International Airport,407,0,404,night,early morning
Delta,DL 669,John F. Kennedy International Airport,San Francisco International Airport,422,0,417,morning,afternoon
JetBlue,B6 115,John F. Kennedy International Airport,San Francisco International Airport,437,0,399,morning,afternoon
JetBlue,B6 815,John F. Kennedy International Airport,San Francisco International Airport,437,0,397,afternoon,afternoon
JetBlue,B6 615,John F. Kennedy International Airport,San Francisco International Airport,437,0,399,afternoon,night
Delta,DL 679,John F. Kennedy International Airport,San Francisco International Airport,462,0,406,afternoon,evening
Delta,DL 670,John F. Kennedy International Airport,San Francisco International Airport,462,0,409,evening,night
American,AA 179,John F. Kennedy International Airport,San Francisco International Airport,502,0,428,morning,afternoon
Alaska,AS 41,John F. Kennedy International Airport,San Francisco International Airport,542,0,406,afternoon,evening
Delta,DL 363,John F. Kennedy International Airport,San Francisco International Airport,572,0,409,morning,afternoon
American,AA 2305,John F. Kennedy International Airport,San Francisco International Airport,702,0,410,evening,night
American,AA 177,John F. Kennedy International Airport,San Francisco International Airport,702,0,412,night,early morning
Alaska,AS 15,John F. Kennedy International Airport,San Francisco International Airport,822,0,405,afternoon,afternoon
United,UA 1484,Chicago O'Hare International Airport,Los Angeles International Airport,320,0,290,morning,afternoon
United,UA 2440,Chicago O'Hare International Airport,Los Angeles International Airport,320,0,277,afternoon,afternoon
United,UA 1310,Chicago O'Hare International Airport,Los Angeles International Airport,320,0,285,afternoon,evening
United,UA 1859,Chicago O'Hare International Airport,Los Angeles International Airport,320,0,293,evening,night
United,UA 2106,Chicago O'Hare International Airport,Los Angeles International Airport,334,0,292,night,night
American,AA 2062,Chicago O'Hare International Airport,Los Angeles International Airport,340,0,288,afternoon,evening
American,AA 529,Chicago O'Hare International Airport,Los Angeles International Airport,340,0,283,afternoon,evening
American,AA 2941,Chicago O'Hare International Airport,Los Angeles International Airport,340,0,290,night,night
American,AA 2012,Chicago O'Hare International Airport,Los Angeles International Airport,354,0,285,morning,morning
American,AA 1979,Chicago O'Hare International Airport,Los Angeles International Airport,354,0,286,morning,afternoon
American,AA 2364,Chicago O'Hare International Airport,Los Angeles International Airport,374,0,282,evening,night
Southwest,WN 1582,Chicago O'Hare International Airport,Denver International Airport,430,1,165,early morning,morning
Southwest,WN 1651,Denver International Airport,Los Angeles International Airport,430,1,160,morning,morning
JetBlue,B6 896,Hartsfield-Jackson Atlanta International Airport,Boston Logan International Airport,237,0,158,evening,night
JetBlue,B6 1320,Hartsfield-Jackson Atlanta International Airport,John F. Kennedy International Airport,246,1,134,early morning,morning
JetBlue,B6 118,John F. Kennedy International Airport,Boston Logan International Airport,246,1,75,morning,morning
American,AA 2479,Hartsfield-Jackson Atlanta International Airport,Charlotte Douglas International Airport,247,1,78,early morning,early morning
American,AA 1449,Charlotte Douglas International Airport,Boston Logan International Airport,247,1,129,morning,morning
Delta,DL 518,Hartsfield-Jackson Atlanta International Airport,Boston Logan International Airport,267,0,157,night,night
Delta,DL 865,Hartsfield-Jackson Atlanta International Airport,Boston Logan International Airport,267,0,153,night,early morning
Delta,DL 726,Hartsfield-Jackson Atlanta International Airport,Boston Logan International Airport,298,0,153,afternoon,evening
Delta,DL 855,Hartsfield-Jackson Atlanta International Airport,Boston Logan International Airport,337,0,155,morning,afternoon
Southwest,WN 1705,Hartsfield-Jackson Atlanta International Airport,Baltimore/Washington International Thurgood Marshall Airport,456,1,105,early morning,morning
Southwest,WN 954,Baltimore/Washington International Thurgood Marshall Airport,Boston Logan International Airport,456,1,95,morning,morning
